date,sales
2014-12-07,16
2014-12-08,16
2014-12-09,16
2014-12-10,16
2014-12-11,16
2014-12-12,16
2014-12-13,16
2014-12-14,16
2014-12-15,688
2014-12-16,735
2014-12-17,578
2014-12-18,385
2014-12-19,291
2014-12-20,156
2014-12-21,38
2014-12-22,116
2014-12-23,116
2014-12-24,102
2014-12-25,102
2014-12-26,82
2014-12-27,328
2014-12-28,283
2014-12-29,612
2014-12-30,553
2014-12-31,542
2015-01-01,542
2015-01-02,561
2015-01-03,2229
2015-01-04,2228
2015-01-05,2351
2015-01-06,2253
2015-01-07,2134
2015-01-08,2137
2015-01-09,2045
2015-01-10,1933
2015-01-11,1837
2015-01-12,1744
2015-01-13,1679
2015-01-14,1581
2015-01-15,1530
2015-01-16,1475
2015-01-17,1403
2015-01-18,1346
2015-01-19,1312
2015-01-20,1265
2015-01-21,1177
2015-01-22,1126
2015-01-23,1076
2015-01-24,966
2015-01-25,936
2015-01-26,877
2015-01-27,780
2015-01-28,625
2015-01-29,500
2015-01-30,496
2015-01-31,285
2015-02-01,197
2015-02-02,467
2015-02-03,570
2015-02-04,548
2015-02-05,1136
2015-02-06,1299
2015-02-07,1211
2015-02-08,1104
2015-02-09,1033
2015-02-10,1063
2015-02-11,974
2015-02-12,1116
2015-02-13,1096
2015-02-14,1019
2015-02-15,986
2015-02-16,1035
2015-02-17,1000
2015-02-18,1228
2015-02-19,1197
2015-02-20,1162
2015-02-21,1082
2015-02-22,1039
2015-02-23,1016
2015-02-24,997
2015-02-25,1075
2015-02-26,1134
2015-02-27,1084
2015-02-28,957
2015-03-01,834
2015-03-02,789
2015-03-03,767
2015-03-04,736
2015-03-05,714
2015-03-06,674
2015-03-07,612
2015-03-08,553
2015-03-09,525
2015-03-10,458
2015-03-11,385
2015-03-12,298
2015-03-13,1878
2015-03-14,1575
2015-03-15,1379
2015-03-16,1256
2015-03-17,1088
2015-03-18,1263
2015-03-19,1075
2015-03-20,856
2015-03-21,475
2015-03-22,317
2015-03-23,304
2015-03-24,296
2015-03-25,286
2015-03-26,774
2015-03-27,770
2015-03-28,660
2015-03-29,577
2015-03-30,673
2015-03-31,673
2015-04-01,646
2015-04-02,1002
2015-04-03,1044
2015-04-04,908
2015-04-05,853
2015-04-06,831
2015-04-07,801
2015-04-08,771
2015-04-09,930
2015-04-10,1078
2015-04-11,1423
2015-04-12,1366
2015-04-13,1336
2015-04-14,1385
2015-04-15,1311
2015-04-16,1196
2015-04-17,1156
2015-04-18,1094
2015-04-19,1032
2015-04-20,897
2015-04-21,722
2015-04-22,736
2015-04-23,674
2015-04-24,586
2015-04-25,434
2015-04-26,370
2015-04-27,591
2015-04-28,806
2015-04-29,676
2015-04-30,657
2015-05-01,397
2015-05-02,169
2015-05-03,49
2015-05-04,18
2015-05-05,18
2015-05-06,15
2015-05-07,15
2015-05-08,15
2015-05-09,15
2015-05-10,15
2015-05-11,14
2015-05-12,14
2015-05-13,13
2015-05-14,12
2015-05-15,10
2015-05-16,10
2015-05-17,10
2015-05-18,10
2015-05-19,9
2015-05-20,9
2015-05-21,9
2015-05-22,9
2015-05-23,9
2015-05-24,9
2015-05-25,9
2015-05-26,9
2015-05-27,9
2015-05-28,9
2015-05-29,9
2015-05-30,9
2015-05-31,9
2015-06-01,105
2015-06-02,105
2015-06-03,105
2015-06-04,105
2015-06-05,1377
2015-06-06,1176
2015-06-07,1029
2015-06-08,910
2015-06-09,788
2015-06-10,639
2015-06-11,720
2015-06-12,721
2015-06-13,675
2015-06-14,565
2015-06-15,653
2015-06-16,592
2015-06-17,1127
2015-06-18,1301
2015-06-19,1172
2015-06-20,1061
2015-06-21,915
2015-06-22,858
2015-06-23,839
2015-06-24,1291
2015-06-25,1229
2015-06-26,1902
2015-06-27,1719
2015-06-28,1624
2015-06-29,1606
2015-06-30,1543
2015-07-01,1396
2015-07-02,1295
2015-07-03,1047
2015-07-04,905
2015-07-05,719
2015-07-06,898
2015-07-07,957
2015-07-08,1083
2015-07-09,901
2015-07-10,996
2015-07-11,1124
2015-07-12,1006
2015-07-13,950
2015-07-14,907
2015-07-15,812
2015-07-16,758
2015-07-17,673
2015-07-18,869
2015-07-19,808
2015-07-20,697
2015-07-21,1170
2015-07-22,1262
2015-07-23,1292
2015-07-24,1197
2015-07-25,1103
2015-07-26,1043
2015-07-27,1097
2015-07-28,1306
2015-07-29,1581
2015-07-30,1416
2015-07-31,1317
2015-08-01,1084
2015-08-02,1067
2015-08-03,1065
2015-08-04,1060
2015-08-05,1038
2015-08-06,1030
2015-08-07,321
2015-08-08,451
2015-08-09,386
2015-08-10,296
2015-08-11,1157
2015-08-12,1152
2015-08-13,2015
2015-08-14,2046
2015-08-15,1811
2015-08-16,1735
2015-08-17,1733
2015-08-18,1632
2015-08-19,1470
2015-08-20,1446
2015-08-21,1442
2015-08-22,1441
2015-08-23,1366
2015-08-24,1334
2015-08-25,1258
2015-08-26,1252
2015-08-27,1285
2015-08-28,1140
2015-08-29,1062
2015-08-30,1055
2015-08-31,1151
2015-09-01,1217
2015-09-02,1073
2015-09-03,1006
2015-09-04,863
2015-09-05,655
2015-09-06,579
2015-09-07,339
2015-09-08,575
2015-09-09,464
2015-09-10,288
2015-09-11,300
2015-09-12,129
2015-09-13,27
2015-09-14,60
2015-09-15,70
2015-09-16,100
2015-09-17,120
2015-09-18,930
2015-09-19,1080
2015-09-20,1079
2015-09-21,1016
2015-09-22,928
2015-09-23,1348
2015-09-24,1442
2015-09-25,1631
2015-09-26,1622
2015-09-27,1480
2015-09-28,1580
2015-09-29,1560
2015-09-30,1523
2015-10-01,1437
2015-10-02,1367
2015-10-03,976
2015-10-04,919
2015-10-05,951
2015-10-06,916
2015-10-07,875
2015-10-08,1526
2015-10-09,1484
2015-10-10,1389
2015-10-11,1304
2015-10-12,1356
2015-10-13,1276
2015-10-14,1185
2015-10-15,1120
2015-10-16,1146
2015-10-17,1297
2015-10-18,1123
2015-10-19,1291
2015-10-20,1198
2015-10-21,1096
2015-10-22,1055
2015-10-23,1006
2015-10-24,893
2015-10-25,636
2015-10-26,474
2015-10-27,312
2015-10-28,1121
2015-10-29,1435
2015-10-30,1296
2015-10-31,1293
2015-11-01,1087
2015-11-02,819
2015-11-03,760
2015-11-04,1237
2015-11-05,1366
2015-11-06,1577
2015-11-07,1345
2015-11-08,1188
2015-11-09,1081
2015-11-10,1023
2015-11-11,930
2015-11-12,844
2015-11-13,742
2015-11-14,846
2015-11-15,708
2015-11-16,698
2015-11-17,609
2015-11-18,502
2015-11-19,424
2015-11-20,238
2015-11-21,87
2015-11-22,50
2015-11-23,20
2015-11-24,30
2015-11-25,45
2015-11-26,25
2015-11-27,40
2015-11-28,70
2015-11-29,45
2015-11-30,20
2015-12-01,100
2015-12-02,1655
2015-12-03,2001
2015-12-04,1905
2015-12-05,1893
2015-12-06,1823
2015-12-07,1745
2015-12-08,1668
2015-12-09,1880
2015-12-10,1821
2015-12-11,1779
2015-12-12,1637
2015-12-13,1521
2015-12-14,1848
2015-12-15,1681
2015-12-16,1527
2015-12-17,1964
2015-12-18,1772
2015-12-19,2533
2015-12-20,2222
2015-12-21,1971
2015-12-22,1594
2015-12-23,1184
2015-12-24,1023
2015-12-25,1023
2015-12-26,811
2015-12-27,705
2015-12-28,604
2015-12-29,595
2015-12-30,595
2015-12-31,595
2016-01-01,595
2016-01-02,592
2016-01-03,592
2016-01-04,592
2016-01-05,589
2016-01-06,586
2016-01-07,586
2016-01-08,584
2016-01-09,584
2016-01-10,581
2016-01-11,581
2016-01-12,478
2016-01-13,314
2016-01-14,196
2016-01-15,131
2016-01-16,107
2016-01-17,107
2016-01-18,106
2016-01-19,106
2016-01-20,105
2016-01-21,3213
2016-01-22,3110
2016-01-23,2847
2016-01-24,2658
2016-01-25,2461
2016-01-26,2356
2016-01-27,2227
2016-01-28,2083
2016-01-29,1910
2016-01-30,1617
2016-01-31,1398
2016-02-01,1267
2016-02-02,1083
2016-02-03,817
2016-02-04,815
2016-02-05,1420
2016-02-06,1335
2016-02-07,1257
2016-02-08,1185
2016-02-09,1072
2016-02-10,1894
2016-02-11,1796
2016-02-12,1700
2016-02-13,1510
2016-02-14,1510
2016-02-15,1510
2016-02-16,1909
2016-02-17,1845
2016-02-18,1806
2016-02-19,1771
2016-02-20,1982
2016-02-21,1922
2016-02-22,1870
2016-02-23,1819
2016-02-24,1782
2016-02-25,1740
2016-02-26,1651
2016-02-27,1367
2016-02-28,1170
2016-02-29,1089
2016-03-01,1607
2016-03-02,1487
2016-03-03,1423
2016-03-04,1743
2016-03-05,1667
2016-03-06,1581
2016-03-07,1867
2016-03-08,1814
2016-03-09,1774
2016-03-10,1728
2016-03-11,1779
2016-03-12,1712
2016-03-13,1660
2016-03-14,1825
2016-03-15,1774
2016-03-16,1647
2016-03-17,1572
2016-03-18,1510
2016-03-19,1478
2016-03-20,1340
2016-03-21,1554
2016-03-22,1480
2016-03-23,1380
2016-03-24,1501
2016-03-25,1402
2016-03-26,1396
2016-03-27,1339
2016-03-28,1507
2016-03-29,1760
2016-03-30,1701
2016-03-31,1660
2016-04-01,1592
2016-04-02,1508
2016-04-03,1466
2016-04-04,1659
2016-04-05,1574
2016-04-06,1472
2016-04-07,1457
2016-04-08,1344
2016-04-09,1136
2016-04-10,988
2016-04-11,2017
2016-04-12,1955
2016-04-13,1825
2016-04-14,1723
2016-04-15,3917
2016-04-16,3715
2016-04-17,3571
2016-04-18,3487
2016-04-19,3360
2016-04-20,3179
2016-04-21,2911
2016-04-22,2636
2016-04-23,2402
2016-04-24,2269
2016-04-25,2178
2016-04-26,2095
2016-04-27,1956
2016-04-28,1843
2016-04-29,1702
2016-04-30,1474
2016-05-01,1311
2016-05-02,1605
2016-05-03,1768
2016-05-04,1876
2016-05-05,1846
2016-05-06,1602
2016-05-07,1196
2016-05-08,1014
2016-05-09,838
2016-05-10,660
2016-05-11,348
2016-05-12,213
2016-05-13,81
2016-05-14,80
2016-05-15,80
2016-05-16,80
2016-05-17,2383
2016-05-18,2262
2016-05-19,2181
2016-05-20,2069
2016-05-21,2069
2016-05-22,1770
2016-05-23,1684
2016-05-24,1817
2016-05-25,5946
2016-05-26,5779
2016-05-27,5535
2016-05-28,5273
2016-05-29,5085
2016-05-30,4970
2016-05-31,4831
2016-06-01,4558
2016-06-02,4323
2016-06-03,4151
2016-06-04,3828
2016-06-05,3492
2016-06-06,3365
2016-06-07,3228
2016-06-08,2979
2016-06-09,2778
2016-06-10,2507
2016-06-11,2187
2016-06-12,1870
2016-06-13,1646
2016-06-14,1407
2016-06-15,1182
2016-06-16,1423
2016-06-17,1756
2016-06-18,1318
2016-06-19,985
2016-06-20,836
2016-06-21,803
2016-06-22,2204
2016-06-23,2738
2016-06-24,2674
2016-06-25,2504
2016-06-26,2372
2016-06-27,2249
2016-06-28,2171
2016-06-29,2041
2016-06-30,1900
2016-07-01,1653
2016-07-02,1331
2016-07-03,1135
2016-07-04,963
2016-07-05,1413
2016-07-06,1965
2016-07-07,1882
2016-07-08,2234
2016-07-09,2139
2016-07-10,2061
2016-07-11,1939
2016-07-12,1967
2016-07-13,1670
2016-07-14,1532
2016-07-15,1343
2016-07-16,1022
2016-07-17,813
2016-07-18,1420
2016-07-19,1359
2016-07-20,1075
2016-07-21,1015
2016-07-22,917
2016-07-23,1550
2016-07-24,1420
2016-07-25,1358
2016-07-26,2893
2016-07-27,3179
2016-07-28,3071
2016-07-29,4095
2016-07-30,3825
2016-07-31,3642
